code_name,p,decoder_name,repeat_id,seed,num_shots,num_failures,logical_error_rate,ler_ci_low,ler_ci_high,avg_latency_ms_per_shot,p50_latency_ms_per_shot,p95_latency_ms_per_shot,p99_latency_ms_per_shot,avg_bp_iterations_per_shot,p95_bp_iterations_per_shot,bp_converged_fraction,syndrome_avg_weight,syndrome_p95_weight,syndrome_avg_relative_weight,syndrome_p95_relative_weight,noise_model,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,mx_row_weight_mean,mz_row_weight_mean,code_file,ci_method
bb_n72_k12,0.02,BP-OSD,0,1007,1000,11,0.011,0.006153174098086639,0.019589395700786272,0.01791219999358873,0.012399999832268804,0.03350500037413439,0.1110970004265253,1.759,3.0,0.988,3.864,9.0,0.10733333333333334,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-LSD,0,1007,1000,11,0.011,0.006153174098086639,0.019589395700786272,0.034044499981973786,0.02350000067963265,0.04962999937561105,0.23267100123121048,1.603,2.0,0.988,3.864,9.0,0.10733333333333334,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-OSD,1,1008,1000,13,0.013,0.0076128203893510256,0.022114442375579666,0.03270090000114578,0.022399999579647556,0.0575449994357768,0.27512000107890344,1.597,2.0,0.992,3.899,9.0,0.10830555555555556,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-LSD,1,1008,1000,12,0.012,0.006877647806403522,0.02085726847549828,0.03272169996853336,0.021300000298651867,0.04626000063581154,0.2959719984755787,1.503,2.0,0.992,3.899,9.0,0.10830555555555556,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-OSD,2,1009,1000,14,0.014,0.00835757513042392,0.02336203411753566,0.018089899986080127,0.013300001228344627,0.02990000029967632,0.14716299960127793,1.686,3.0,0.993,3.935,9.0,0.10930555555555556,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-LSD,2,1009,1000,13,0.013,0.0076128203893510256,0.022114442375579666,0.021180100007768488,0.013499999113264494,0.030239998977776815,0.12941699942530246,1.525,3.0,0.993,3.935,9.0,0.10930555555555556,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-OSD,3,1010,1000,19,0.019,0.012196885750790904,0.02948445591231312,0.01811579998866364,0.011599999197642319,0.03106499962086667,0.15513499973167189,2.207,4.0,0.979,3.991,9.0,0.11086111111111112,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-LSD,3,1010,1000,20,0.02,0.012983682916415136,0.030690005229717786,0.02252330002920644,0.012399999832268804,0.03559000106179147,0.24592699990535027,1.833,2.0,0.979,3.991,9.0,0.11086111111111112,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-OSD,4,1011,1000,14,0.014,0.00835757513042392,0.02336203411753566,0.015029099991807016,0.011399999493733048,0.024534999283787298,0.10430000111227855,1.938,3.0,0.985,3.914,9.0,0.10872222222222222,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.02,BP-LSD,4,1011,1000,15,0.015,0.009110978804081668,0.024600976926906798,0.020023200024297694,0.012700000297627412,0.029804999576299448,0.1991839990114385,1.694,2.0,0.985,3.914,9.0,0.10872222222222222,0.25,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
