nx,N,K0,M_K,R_size,t,seed,alpha,J,V_label,R_hops,err_b_K_rel,err_rho_vs_full,err_E_LP,leakage_apriori,bound_apriori,err_Z_frob,err_rho_lp_vs_full,rt_build_H_s,rt_eig_s,rt_full_s,rt_galerkin_s,rt_total_s
4,16,8.0,195,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,4.156253527470274e-05,0.005756033794298195,4.674111692592906e-09,0.04529108136578384,0.018116432546313534,0.0012462078458484556,0.005755003428827082,0.0013964370009489357,0.2230591310071759,nan,nan,0.2956746420240961
4,16,8.0,195,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,4.499441937937417e-05,0.00781843778722466,4.895687128915724e-09,0.04529108136578384,0.02264554068289192,0.0015427980991227401,0.007817893341158849,0.0013964370009489357,0.2230591310071759,nan,nan,0.36484882698277943
4,16,8.0,195,3,0.6,0,0.1,1,"V=0.1cos(1,0)",1,4.5639257429377255e-05,0.0072964343758452664,5.726871411489305e-09,0.04529108136578384,0.027174648819470303,0.0018296571996256588,0.0072972615092095384,0.0013964370009489357,0.2230591310071759,nan,nan,0.958734137006104
4,16,8.0,195,3,0.7,0,0.1,1,"V=0.1cos(1,0)",1,4.471507853685997e-05,0.006905030485989982,9.312049110808539e-09,0.04529108136578384,0.031703756956048684,0.002105054097561678,0.0069019766828201465,0.0013964370009489357,0.2230591310071759,nan,nan,1.3318268799921498
4,16,8.0,195,3,0.8,0,0.1,1,"V=0.1cos(1,0)",1,4.401304792113399e-05,0.0050620330907749506,1.734704214223294e-08,0.04529108136578384,0.03623286509262707,0.002367344992892235,0.005055345288360147,0.0013964370009489357,0.2230591310071759,nan,nan,0.9955709670030046
4,16,8.0,195,3,0.9,0,0.1,1,"V=0.1cos(1,0)",1,4.523168314321593e-05,0.0041020686615711064,2.929716027706306e-08,0.04529108136578384,0.04076197322920545,0.00261497335234983,0.004101536887365696,0.0013964370009489357,0.2230591310071759,nan,nan,0.5120609620062169
4,16,8.0,195,3,1.0,0,0.1,1,"V=0.1cos(1,0)",1,4.899047930419432e-05,0.005368395308235467,4.1608144088039034e-08,0.04529108136578384,0.04529108136578384,0.002846470943452047,0.00537462917175472,0.0013964370009489357,0.2230591310071759,nan,nan,0.4474767349893227
4,16,9.0,231,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,1.8291174819305945e-05,0.0027238849250504895,2.377233107801288e-08,0.04264014327112209,0.004264014327112209,0.0003167464862760564,0.002729004073936523,0.0013964370009489357,0.2230591310071759,nan,nan,0.20272433999343775
4,16,9.0,231,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,3.47710537592262e-05,0.003908746402424381,8.594486984752577e-08,0.04264014327112209,0.008528028654224418,0.0006314270842140985,0.003886656437600619,0.0013964370009489357,0.2230591310071759,nan,nan,0.2610378910030704
4,16,9.0,231,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,4.7839685580830944e-05,0.005394073634091717,1.6271330297765077e-07,0.04264014327112209,0.012792042981336627,0.0009420084081182029,0.00538546869016388,0.0013964370009489357,0.2230591310071759,nan,nan,0.7186848809942603
