train_mode,test_mode,policy,deadline_us,tesseract_multiplier,tesseract_mu_us,tesseract_sigma_us,cm_on_time_prob,tess_on_time_prob,effective_lfr,baseline_lfr_always_cm,intervened_lfr_always_tess,deadline_feasible_fraction,num_test_conditions
traditional_calibration,reinforcement_learning,always_correlated_matching,4,2.000000,9.308000,0.998000,0.094993,0.000000,0.129550,0.129550,0.129550,0.094993,20
traditional_calibration,reinforcement_learning,always_tesseract,4,2.000000,9.308000,0.998000,0.094993,0.000000,0.129550,0.129550,0.129550,0.094993,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,4,2.000000,9.308000,0.998000,0.094993,0.000000,0.129550,0.129550,0.129550,0.094993,20
traditional_calibration,reinforcement_learning,burden_threshold,4,2.000000,9.308000,0.998000,0.094993,0.000000,0.129550,0.129550,0.129550,0.094993,20
traditional_calibration,reinforcement_learning,always_correlated_matching,5,2.000000,9.308000,0.998000,0.755967,0.000008,0.116331,0.116331,0.116330,0.755969,20
traditional_calibration,reinforcement_learning,always_tesseract,5,2.000000,9.308000,0.998000,0.755967,0.000008,0.116330,0.116331,0.116330,0.755969,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,5,2.000000,9.308000,0.998000,0.755967,0.000008,0.116330,0.116331,0.116330,0.755969,20
traditional_calibration,reinforcement_learning,burden_threshold,5,2.000000,9.308000,0.998000,0.755967,0.000008,0.116330,0.116331,0.116330,0.755969,20
traditional_calibration,reinforcement_learning,always_correlated_matching,6,2.000000,9.308000,0.998000,0.996506,0.000459,0.111520,0.111520,0.111512,0.996507,20
traditional_calibration,reinforcement_learning,always_tesseract,6,2.000000,9.308000,0.998000,0.996506,0.000459,0.111512,0.111520,0.111512,0.996507,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,6,2.000000,9.308000,0.998000,0.996506,0.000459,0.111512,0.111520,0.111512,0.996507,20
traditional_calibration,reinforcement_learning,burden_threshold,6,2.000000,9.308000,0.998000,0.996506,0.000459,0.111512,0.111520,0.111512,0.996507,20
traditional_calibration,reinforcement_learning,always_correlated_matching,7,2.000000,9.308000,0.998000,0.999999,0.010372,0.111450,0.111450,0.111268,0.999999,20
traditional_calibration,reinforcement_learning,always_tesseract,7,2.000000,9.308000,0.998000,0.999999,0.010372,0.111268,0.111450,0.111268,0.999999,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,7,2.000000,9.308000,0.998000,0.999999,0.010372,0.111268,0.111450,0.111268,0.999999,20
traditional_calibration,reinforcement_learning,burden_threshold,7,2.000000,9.308000,0.998000,0.999999,0.010372,0.111270,0.111450,0.111268,0.999999,20
traditional_calibration,reinforcement_learning,always_correlated_matching,8,2.000000,9.308000,0.998000,1.000000,0.094993,0.111450,0.111450,0.109781,1.000000,20
